,Player,Tm,Pos,Weighted_Score,Salary
0,Nikola Jokić,DEN,C,0.9724320241691843,33047803
1,Joel Embiid,PHI,C,0.7365190365190366,33616770
2,Domantas Sabonis,SAC,C,0.5711409059218727,21100000
3,Anthony Davis,LAL,C,0.5267422071047448,37980720
4,Nic Claxton,BRK,C,0.42056838135010344,9350000
5,Bam Adebayo,MIA,C,0.36559525360507233,30351780
6,Nikola Vučević,CHI,C,0.36147936487815646,22000000
7,Jaren Jackson Jr.,MEM,C,0.3467926123892891,28946605
8,Kristaps Porziņģis,WAS,C,0.34678909123773166,33833400
9,Jarrett Allen,CLE,C,0.32170390871297216,20000000
10,Brook Lopez,MIL,C,0.3124059999248821,13906976
11,Walker Kessler,UTA,C,0.31092177585757647,2696400
12,Mason Plumlee,LAC,C,0.28460796085418444,9080417
13,Jakob Poeltl,TOR,C,0.28186350197301857,9398148
14,Alperen Şengün,HOU,C,0.26286577428949026,3375360
15,Kevon Looney,GSW,C,0.26081474752169614,8000000
16,Al Horford,BOS,C,0.2602731210548431,26500000
17,Deandre Ayton,PHO,C,0.25440773350516555,30913750
18,Myles Turner,IND,C,0.24994261990107913,35096500
19,Rudy Gobert,MIN,C,0.22807481625457457,38172414
20,Clint Capela,ATL,C,0.22006372697460314,18206896
21,Onyeka Okongwu,ATL,C,0.21496329492930702,6395160
22,Daniel Gafford,WAS,C,0.1957939844646793,1930681
23,Christian Wood,DAL,C,0.17137444629891763,14317459
24,Kelly Olynyk,UTA,C,0.16164726512158537,12804878
25,Wendell Carter Jr.,ORL,C,0.1531078710648197,14150000
26,Drew Eubanks,POR,C,0.1528225550884161,1968175
27,Jonas Valančiūnas,NOP,C,0.1468912926616854,14700000
28,Ivica Zubac,LAC,C,0.13396065582621475,10123457
29,Jalen Duren,DET,C,0.07402973201689213,4124280
